J2000	z_emission	z_absorption	delta_alpha	error_delta_alpha	extra_error_delta_alpha	dipole_delta_alpha	dipole_angle	sample	source	sigflag	imrotator	transitions
J143040+014939	2.113	0.4878	35.8	21.7	23.51153971989074	1.4515582558893834	70.5399	D	VLT	3	0	a2 b2 j7 j8 i2 i3
J143040+014939	2.113	1.203	-8.12	32.9	34.122023679729196	1.4515582558893834	70.5399	D	VLT	3	0	b1 b2 j7 j8
J143040+014939	2.113	1.2411	-26.6	12.0	15.030053226785327	1.4515582558893834	70.5399	D	VLT	3	0	a2 b1 b2 j7 j8 e2 h1 h2 h3 l2 k2 k3 i1 i2 i3
J144653+011356	2.206	0.5097	-5.67	11.42	14.571166734342176	1.7535665479237368	68.6364	D	VLT	3	0	b1 b2 j4 j8
J144653+011356	2.206	0.6602	-0.73	18.31	20.42446082519683	1.7535665479237368	68.6364	D	VLT	3	0	a2 b1 b2 j6 j7 j8
J144653+011356	2.206	1.102	13.95	40.3	41.30366206524549	1.7535665479237368	68.6364	D	VLT	3	0	b1 b2 j6 j8
J144653+011356	2.206	1.1292	22.78	27.6	29.045868897314815	1.7535665479237368	68.6364	D	VLT	3	0	a2 b2 j4 j6 j8
J144653+011356	2.206	1.1595	-25.57	12.05	15.070003317849668	1.7535665479237368	68.6364	D	VLT	3	0	a2 b1 b2 j4 j5 j6 j7
J145102-232930	2.215	1.5855	-45.0	24.56	26.17434048834851	5.057870335953936	45.1757	D	VLT	3	0	j6 j8 c1 d1 d2 e1
J200324-325144	3.773	2.0329	24.4	12.0	15.030053226785327	5.788798684666605	38.713	D	VLT	3	0	a2 b1 b2 j6 j7 j8
J200324-325144	3.773	3.1878	34.11	11.53	14.65753731020324	5.788798684666605	38.713	D	VLT	3	0	j1 j4 c1 e1 e2
J200324-325144	3.773	3.1917	22.38	42.17	43.13016809612502	5.788798684666605	38.713	D	VLT	3	0	j1 e1
J212912-153841	3.2680000000000002	1.7380000000000002	13.1	6.36	11.061288351724677	2.577774170751711	63.3041	D	VLT	3	0	a2 j4 j5 j6 j7 j8 e1
J212912-153841	3.2680000000000002	2.0225	-16.28	12.44	15.38363091080906	2.577774170751711	63.3041	D	VLT	3	0	b2 j4 j7 j8 e1
J212912-153841	3.2680000000000002	2.6378	13.2	33.3	34.507861423159795	2.577774170751711	63.3041	D	VLT	3	0	c1 e1 e2 k1 k2 k3
J212912-153841	3.2680000000000002	2.7686	-2.06	10.9	14.167303907236551	2.577774170751711	63.3041	D	VLT	3	0	j1 e1 e2
J213314-464030	2.204	1.6148	43.2	15.68	18.104278499846384	5.815912977059902	38.4562	D	VLT	3	0	j1 j4 j5 j6 c1 e1
J214159-441325	3.17	2.1329	-4.7	22.22	23.99230918440324	5.508066538523899	41.2928	D	VLT	3	0	b1 b2 j4 j6 e1
J214159-441325	3.17	2.3828	11.7	8.58	12.470721711272368	5.508066538523899	41.2928	D	VLT	3	0	j4 j5 j7 j8 c1 h1 h2 l1 l2 k1 k3 i1 i3
J214159-441325	3.17	2.8523	20.89	5.24	10.45753795116231	5.508066538523899	41.2928	D	VLT	3	0	j1 j2 j3 j5 c1 e1 e2 h1 h3 k1 k2 k3
J214225-442018	3.23	0.9865	-0.93	10.5	13.861908238045729	5.511740933936198	41.2599	D	VLT	3	0	b1 b2 j8
J214225-442018	3.23	1.0529	15.0	12.9	15.757934509319425	5.511740933936198	41.2599	D	VLT	3	0	a2 b1 b2 j8
J214225-442018	3.23	1.1543	-62.5	40.0	41.011004620711255	5.511740933936198	41.2599	D	VLT	3	0	a2 b1 b2 j7 j8
J214225-442018	3.23	1.7569	-61.83	43.08	44.020323715302226	5.511740933936198	41.2599	D	VLT	3	0	b1 b2 j4 j6 j8
J214225-442018	3.23	2.1126	11.77	8.58	12.470721711272368	5.511740933936198	41.2599	D	VLT	3	0	a1 a2 b1 b2 j3 j4 j5 j7 j8 e2 h1 h2 h3 l1 l2 k1 k2 k3 i1 i3
J214225-442018	3.23	2.2533	22.2	11.2	14.399392348290258	5.511740933936198	41.2599	D	VLT	3	0	j4 j5 j6 j7 j8 c1 e1 e2
J214225-442018	3.23	2.3798	7.47	15.1	17.604331853268388	5.511740933936198	41.2599	D	VLT	3	0	j1 j4 j5 j6 j7 j8 c1 e1 e2
J220734-403655	3.155	1.6269999999999998	60.91	27.09	28.561698128787793	4.822645172662936	47.1028	D	VLT	3	0	j4 j6 j7 c1
J220852-194359	2.5580000000000003	0.9478	1.51	13.05	15.88096344684415	2.399563480908958	64.4764	D	VLT	3	0	a2 b1 b2 j6 j7 j8
J220852-194359	2.5580000000000003	0.9483	-26.86	20.09	22.034305071864644	2.399563480908958	64.4764	D	VLT	3	0	b1 b2 j6 j7 j8
J220852-194359	2.5580000000000003	1.0172	-5.25	5.46	10.569489107804596	2.399563480908958	64.4764	D	VLT	3	0	a2 b1 j4 j5 j6 j7 j8
J220852-194359	2.5580000000000003	1.0182	-4.12	10.4	13.786315678962238	2.399563480908958	64.4764	D	VLT	3	0	b1 b2 j4 j6 j7 j8
J220852-194359	2.5580000000000003	1.297	-14.35	27.63	29.074377035458557	2.399563480908958	64.4764	D	VLT	3	0	a2 b1 b2 j6 j8
J220852-194359	2.5580000000000003	1.9206	8.57	3.85	9.834886882928549	2.399563480908958	64.4764	D	VLT	3	0	j1 j3 j4 j7 c1 e1 e2 h1 h2 h3 l1 l2 k1 k2 k3 i1
J220852-194359	2.5580000000000003	2.0762	9.42	5.84	10.770705640764676	2.399563480908958	64.4764	D	VLT	3	0	j1 j4 j5 j6 c1 k1 k2 k3
J222006-280323	2.406	0.7866	-5.57	14.79	17.339163762996183	3.2476131150279506	58.781	D	VLT	3	0	b1 b2 j4 j6 j8
J222006-280323	2.406	0.9408	16.91	17.62	19.80825333036712	3.2476131150279506	58.781	D	VLT	3	0	b1 b2 j4 j6 j8
J222006-280323	2.406	0.9424	9.88	12.5	15.432190382444094	3.2476131150279506	58.781	D	VLT	3	0	a2 b1 b2 j4 j6 j7 j8
J222006-280323	2.406	1.5554	9.45	6.04	10.88044576292718	3.2476131150279506	58.781	D	VLT	3	0	b1 j4 j6 j7 j8 c1
J222006-280323	2.406	1.6279	23.0	8.61	12.491381028533235	3.2476131150279506	58.781	D	VLT	3	0	a2 b1 j1 j4 j6 j7 j8 c1
J222756-224302	1.891	1.4129	-16.49	17.85	20.013120696183293	2.4364213807961703	64.2349	D	VLT	3	0	b1 b2 j4 j5 j6 j7 j8 c1 d1 d2 e1 e2
J222756-224302	1.891	1.4334	-45.07	29.35	30.713596337778487	2.4364213807961703	64.2349	D	VLT	3	0	b1 b2 j4 j8 c1 d1 d2 e1
J222756-224302	1.891	1.4518	10.24	15.86	18.260397038399795	2.4364213807961703	64.2349	D	VLT	3	0	b1 j4 j6 j7 j8 c1 e1
J222756-224302	1.891	1.6398	-14.84	29.57	30.923896908378154	2.4364213807961703	64.2349	D	VLT	3	0	a2 b1 b2 j4 j5 j7 j8 c1 d1 d2 e1
J233446-090812	3.3169999999999997	2.1522	5.25	4.37	10.049845769960852	-0.7722195987825358	84.0365	D	VLT	3	0	a1 b1 b2 j1 j3 j4 j5 j6 d1 d2 h1 h2 h3 l1 l2 k1 k2 k3 i1
J233446-090812	3.3169999999999997	2.2015	-0.58	54.94	55.68039241959417	-0.7722195987825358	84.0365	D	VLT	3	0	j4 c1 e2
J233446-090812	3.3169999999999997	2.2875	7.58	3.76	9.80000510203949	-0.7722195987825358	84.0365	D	VLT	3	0	j1 j4 j5 j8 e2 h1 h3 k2 k3 i2 i3
J234625+124743	2.5780000000000003	2.1733	41.6	75.17	75.71282189959638	-4.226055742743183	104.606	D	VLT	3	0	j1 c1 e1
J234625+124743	2.5780000000000003	2.5718	-172.74	67.99	68.58966831819498	-4.226055742743183	104.606	D	VLT	3	0	j1 e1 e2
J234628+124858	2.515	1.1084	-15.36	25.27	26.84167282417398	-4.229987345535298	104.63	D	VLT	3	0	b2 j4 j8
J234628+124858	2.515	1.5899	30.51	22.68	24.418945513678512	-4.229987345535298	104.63	D	VLT	3	0	j6 j7 e1
J234628+124858	2.515	2.1713	-7.94	9.51	13.127932053450003	-4.229987345535298	104.63	D	VLT	3	0	b2 j1 j4 j6 c1 d1 d2
J235034-432559	2.885	1.7962	9.42	33.57	34.768482854447356	3.5690443801998564	56.5336	D	VLT	3	0	b1 j6 d1 d2 e1
